Date,BAMLH0A0HYM2
2026-01-01,2.830000
2026-01-02,2.830000
2026-01-05,2.810000
2026-01-06,2.790000
2026-01-07,2.790000
2026-01-08,2.760000
2026-01-09,2.740000
2026-01-12,2.740000
2026-01-13,2.750000
2026-01-14,2.760000
2026-01-15,2.710000
2026-01-16,2.650000
2026-01-19,2.650000
2026-01-20,2.730000
2026-01-21,2.690000
2026-01-22,2.640000
2026-01-23,2.680000
2026-01-26,2.690000
2026-01-27,2.710000
2026-01-28,2.720000
2026-01-29,2.770000
2026-01-30,2.800000
2026-01-31,2.880000
2026-02-02,2.810000
2026-02-03,2.850000
2026-02-04,2.860000
2026-02-05,2.970000
2026-02-06,2.870000
2026-02-09,2.840000
2026-02-10,2.860000
2026-02-11,2.840000
2026-02-12,2.920000
2026-02-13,2.950000
2026-02-16,2.940000
2026-02-17,2.940000
2026-02-18,2.860000
2026-02-19,2.880000
2026-02-20,2.860000
2026-02-23,2.950000
2026-02-24,2.970000
2026-02-25,2.940000
2026-02-26,2.980000
2026-02-27,3.100000
2026-02-28,3.120000
2026-03-02,3.030000
2026-03-03,3.080000
