Date,DGS2
2022-01-03,0.780000
2022-01-04,0.770000
2022-01-05,0.830000
2022-01-06,0.880000
2022-01-07,0.870000
2022-01-10,0.920000
2022-01-11,0.900000
2022-01-12,0.920000
2022-01-13,0.910000
2022-01-14,0.990000
2022-01-17,
2022-01-18,1.060000
2022-01-19,1.040000
2022-01-20,1.080000
2022-01-21,1.010000
2022-01-24,0.990000
2022-01-25,1.020000
2022-01-26,1.130000
2022-01-27,1.180000
2022-01-28,1.150000
2022-01-31,1.180000
2022-02-01,1.180000
2022-02-02,1.160000
2022-02-03,1.190000
2022-02-04,1.310000
2022-02-07,1.300000
2022-02-08,1.350000
2022-02-09,1.360000
2022-02-10,1.610000
2022-02-11,1.500000
2022-02-14,1.580000
2022-02-15,1.580000
2022-02-16,1.520000
2022-02-17,1.490000
2022-02-18,1.470000
2022-02-21,
2022-02-22,1.560000
2022-02-23,1.580000
2022-02-24,1.540000
2022-02-25,1.550000
2022-02-28,1.440000
2022-03-01,1.310000
2022-03-02,1.500000
2022-03-03,1.530000
2022-03-04,1.500000
2022-03-07,1.550000
2022-03-08,1.630000
2022-03-09,1.680000
2022-03-10,1.720000
2022-03-11,1.750000
2022-03-14,1.870000
2022-03-15,1.850000
2022-03-16,1.950000
2022-03-17,1.940000
2022-03-18,1.970000
2022-03-21,2.140000
2022-03-22,2.180000
2022-03-23,2.130000
2022-03-24,2.130000
2022-03-25,2.300000
2022-03-28,2.350000
2022-03-29,2.350000
2022-03-30,2.310000
2022-03-31,2.280000
2022-04-01,2.440000
2022-04-04,2.430000
2022-04-05,2.510000
2022-04-06,2.500000
2022-04-07,2.470000
2022-04-08,2.530000
2022-04-11,2.500000
2022-04-12,2.390000
2022-04-13,2.370000
2022-04-14,2.470000
2022-04-15,
2022-04-18,2.460000
2022-04-19,2.610000
2022-04-20,2.600000
2022-04-21,2.680000
2022-04-22,2.720000
2022-04-25,2.630000
2022-04-26,2.540000
2022-04-27,2.580000
2022-04-28,2.630000
2022-04-29,2.700000
2022-05-02,2.730000
2022-05-03,2.780000
2022-05-04,2.660000
2022-05-05,2.710000
2022-05-06,2.720000
2022-05-09,2.610000
2022-05-10,2.620000
2022-05-11,2.660000
2022-05-12,2.560000
2022-05-13,2.610000
2022-05-16,2.580000
2022-05-17,2.710000
2022-05-18,2.680000
2022-05-19,2.630000
2022-05-20,2.600000
2022-05-23,2.650000
2022-05-24,2.500000
2022-05-25,2.480000
2022-05-26,2.460000
2022-05-27,2.470000
2022-05-30,
2022-05-31,2.530000
2022-06-01,2.660000
2022-06-02,2.650000
2022-06-03,2.660000
2022-06-06,2.730000
2022-06-07,2.750000
2022-06-08,2.780000
2022-06-09,2.830000
2022-06-10,3.060000
2022-06-13,3.400000
2022-06-14,3.450000
2022-06-15,3.200000
2022-06-16,3.140000
2022-06-17,3.170000
2022-06-20,
2022-06-21,3.210000
2022-06-22,3.060000
2022-06-23,3.010000
2022-06-24,3.040000
2022-06-27,3.080000
2022-06-28,3.100000
2022-06-29,3.060000
2022-06-30,2.920000
2022-07-01,2.840000
2022-07-04,
2022-07-05,2.820000
2022-07-06,2.970000
2022-07-07,3.030000
2022-07-08,3.120000
2022-07-11,3.070000
2022-07-12,3.030000
2022-07-13,3.130000
2022-07-14,3.150000
2022-07-15,3.130000
2022-07-18,3.150000
2022-07-19,3.230000
2022-07-20,3.250000
2022-07-21,3.100000
2022-07-22,2.980000
2022-07-25,3.000000
2022-07-26,3.020000
2022-07-27,2.960000
2022-07-28,2.850000
2022-07-29,2.890000
2022-08-01,2.900000
2022-08-02,3.060000
2022-08-03,3.100000
2022-08-04,3.030000
2022-08-05,3.240000
2022-08-08,3.210000
2022-08-09,3.280000
2022-08-10,3.230000
2022-08-11,3.230000
2022-08-12,3.250000
2022-08-15,3.200000
2022-08-16,3.250000
2022-08-17,3.280000
2022-08-18,3.220000
2022-08-19,3.250000
