Date,Adj Close,Close,High,Low,Open,Volume
2022-01-03,16.600000,16.600000,18.540001,16.559999,17.600000,0
2022-01-04,16.910000,16.910000,17.809999,16.340000,16.570000,0
2022-01-05,19.730000,19.730000,20.170000,16.580000,17.070000,0
2022-01-06,19.610001,19.610001,21.059999,19.080000,20.290001,0
2022-01-07,18.760000,18.760000,20.799999,18.570000,19.850000,0
2022-01-10,19.400000,19.400000,23.330000,19.290001,19.580000,0
2022-01-11,18.410000,18.410000,21.000000,18.200001,19.620001,0
2022-01-12,17.620001,17.620001,18.690001,17.360001,18.170000,0
2022-01-13,20.309999,20.309999,20.610001,17.450001,18.059999,0
2022-01-14,19.190001,19.190001,22.070000,19.049999,20.110001,0
2022-01-18,22.790001,22.790001,23.200001,21.180000,21.180000,0
2022-01-19,23.850000,23.850000,23.990000,21.850000,23.120001,0
2022-01-20,25.590000,25.590000,25.889999,21.680000,23.459999,0
2022-01-21,28.850000,28.850000,29.790001,25.309999,25.379999,0
2022-01-24,29.900000,29.900000,38.939999,28.020000,28.200001,0
2022-01-25,31.160000,31.160000,35.849998,29.129999,32.290001,0
2022-01-26,31.959999,31.959999,33.040001,26.900000,29.350000,0
2022-01-27,30.490000,30.490000,33.000000,28.420000,32.189999,0
2022-01-28,27.660000,27.660000,32.820000,27.280001,30.270000,0
2022-01-31,24.830000,24.830000,29.410000,24.709999,28.360001,0
2022-02-01,21.959999,21.959999,25.330000,21.959999,24.570000,0
2022-02-02,22.090000,22.090000,22.730000,20.459999,21.559999,0
2022-02-03,24.350000,24.350000,25.809999,22.299999,22.629999,0
2022-02-04,23.219999,23.219999,26.260000,22.070000,23.770000,0
2022-02-07,22.860001,22.860001,24.820000,22.020000,24.090000,0
2022-02-08,21.440001,21.440001,23.480000,21.320000,23.090000,0
2022-02-09,19.959999,19.959999,21.299999,19.930000,21.270000,0
2022-02-10,23.910000,23.910000,24.770000,20.180000,20.370001,0
2022-02-11,27.360001,27.360001,30.990000,23.330000,24.389999,0
2022-02-14,28.330000,28.330000,32.040001,28.330000,29.170000,0
2022-02-15,25.700001,25.700001,28.090000,25.330000,28.090000,0
2022-02-16,24.290001,24.290001,27.090000,23.879999,25.190001,0
2022-02-17,28.110001,28.110001,28.370001,24.760000,24.830000,0
2022-02-18,27.750000,27.750000,29.709999,26.379999,26.660000,0
2022-02-22,28.809999,28.809999,32.040001,28.400000,31.799999,0
2022-02-23,31.020000,31.020000,31.070000,27.200001,28.040001,0
2022-02-24,30.320000,30.320000,37.790001,29.450001,37.500000,0
2022-02-25,27.590000,27.590000,32.000000,26.930000,31.680000,0
2022-02-28,30.150000,30.150000,33.509998,28.430000,32.439999,0
2022-03-01,33.320000,33.320000,35.189999,29.440001,29.450001,0
2022-03-02,30.740000,30.740000,34.410000,30.120001,34.200001,0
2022-03-03,30.480000,30.480000,32.009998,29.309999,30.520000,0
2022-03-04,31.980000,31.980000,34.650002,31.469999,31.900000,0
2022-03-07,36.450001,36.450001,36.549999,32.590000,35.880001,0
2022-03-08,35.130001,35.130001,37.520000,32.779999,36.189999,0
2022-03-09,32.450001,32.450001,34.119999,31.389999,33.740002,0
2022-03-10,30.230000,30.230000,34.029999,30.230000,33.029999,0
2022-03-11,30.750000,30.750000,31.040001,28.840000,30.430000,0
2022-03-14,31.770000,31.770000,33.180000,30.059999,31.030001,0
2022-03-15,29.830000,29.830000,33.830002,29.570000,33.130001,0
2022-03-16,26.670000,26.670000,29.799999,26.290001,29.020000,0
2022-03-17,25.670000,25.670000,27.469999,25.250000,26.510000,0
2022-03-18,23.870001,23.870001,26.820000,23.850000,26.360001,0
2022-03-21,23.530001,23.530001,25.360001,22.990000,25.139999,0
2022-03-22,22.940001,22.940001,24.020000,22.700001,24.020000,0
2022-03-23,23.570000,23.570000,24.030001,22.639999,23.040001,0
2022-03-24,21.670000,21.670000,23.790001,21.490000,23.610001,0
2022-03-25,20.809999,20.809999,22.860001,20.799999,21.870001,0
2022-03-28,19.629999,19.629999,23.330000,19.540001,22.139999,0
2022-03-29,18.900000,18.900000,19.730000,18.670000,19.700001,0
2022-03-30,19.330000,19.330000,20.510000,18.719999,19.379999,0
2022-03-31,20.559999,20.559999,21.480000,19.540001,19.680000,0
2022-04-01,19.629999,19.629999,20.860001,19.410000,20.620001,0
2022-04-04,18.570000,18.570000,20.780001,18.450001,20.750000,0
2022-04-05,21.030001,21.030001,21.570000,18.549999,18.790001,0
2022-04-06,22.100000,22.100000,24.780001,21.240000,21.270000,0
2022-04-07,21.549999,21.549999,23.820000,21.120001,21.969999,0
2022-04-08,21.160000,21.160000,22.340000,20.280001,21.250000,0
2022-04-11,24.370001,24.370001,24.420000,22.090000,23.090000,0
2022-04-12,24.260000,24.260000,25.379999,22.270000,24.940001,0
2022-04-13,21.820000,21.820000,24.450001,21.370001,23.520000,0
2022-04-14,22.700001,22.700001,22.700001,20.850000,21.719999,0
2022-04-18,22.170000,22.170000,24.600000,21.980000,24.520000,0
2022-04-19,21.370001,21.370001,22.920000,20.360001,22.549999,0
2022-04-20,20.320000,20.320000,21.320000,19.750000,21.129999,0
2022-04-21,22.680000,22.680000,23.280001,19.809999,20.240000,0
2022-04-22,28.209999,28.209999,28.270000,22.620001,22.709999,0
2022-04-25,27.020000,27.020000,31.600000,26.799999,30.040001,0
2022-04-26,33.520000,33.520000,33.810001,27.059999,27.379999,0
2022-04-27,31.600000,31.600000,32.770000,29.820000,31.110001,0
2022-04-28,29.990000,29.990000,32.000000,28.000000,29.910000,0
2022-04-29,33.400002,33.400002,34.340000,28.540001,28.969999,0
2022-05-02,32.340000,32.340000,36.639999,31.740000,33.349998,0
2022-05-03,29.250000,29.250000,32.820000,29.059999,31.760000,0
2022-05-04,25.420000,25.420000,29.420000,24.940001,29.120001,0
2022-05-05,31.200001,31.200001,33.200001,25.780001,25.969999,0
2022-05-06,30.190001,30.190001,35.340000,29.830000,32.230000,0
2022-05-09,34.750000,34.750000,35.480000,31.900000,31.900000,0
2022-05-10,32.990002,32.990002,34.840000,32.240002,33.660000,0
2022-05-11,32.560001,32.560001,34.389999,30.690001,32.869999,0
2022-05-12,31.770000,31.770000,34.759998,31.700001,33.740002,0
2022-05-13,28.870001,28.870001,31.200001,28.780001,31.090000,0
2022-05-16,27.469999,27.469999,30.230000,27.360001,30.010000,0
2022-05-17,26.100000,26.100000,27.170000,25.510000,27.070000,0
2022-05-18,30.959999,30.959999,31.490000,26.209999,26.740000,0
2022-05-19,29.350000,29.350000,33.110001,29.059999,31.240000,0
2022-05-20,29.430000,29.430000,32.910000,28.059999,28.780001,0
2022-05-23,28.480000,28.480000,30.389999,28.290001,28.980000,0
2022-05-24,29.450001,29.450001,31.070000,29.040001,29.430000,0
2022-05-25,28.370001,28.370001,30.230000,28.160000,29.330000,0
2022-05-26,27.500000,27.500000,28.459999,27.110001,28.420000,0
2022-05-27,25.719999,25.719999,27.540001,25.570000,27.500000,0
2022-05-31,26.190001,26.190001,28.350000,25.940001,27.469999,0
2022-06-01,25.690001,25.690001,27.730000,25.379999,26.049999,0
2022-06-02,24.719999,24.719999,26.500000,24.330000,25.730000,0
2022-06-03,24.790001,24.790001,25.959999,24.760000,24.910000,0
2022-06-06,25.070000,25.070000,25.809999,24.820000,25.370001,0
2022-06-07,24.020000,24.020000,26.240000,23.879999,25.540001,0
2022-06-08,23.959999,23.959999,24.780001,23.740000,24.370001,0
2022-06-09,26.090000,26.090000,26.240000,23.820000,24.290001,0
2022-06-10,27.750000,27.750000,29.629999,26.049999,26.260000,0
2022-06-13,34.020000,34.020000,35.049999,31.290001,31.370001,0
2022-06-14,32.689999,32.689999,34.000000,32.060001,33.009998,0
2022-06-15,29.620001,29.620001,32.770000,27.760000,32.389999,0
2022-06-16,32.950001,32.950001,34.820000,30.350000,30.350000,0
2022-06-17,31.129999,31.129999,33.310001,30.469999,32.840000,0
2022-06-21,30.190001,30.190001,30.650000,29.330000,30.629999,0
2022-06-22,28.950001,28.950001,31.570000,28.780001,31.450001,0
2022-06-23,29.049999,29.049999,29.770000,28.740000,29.290001,0
2022-06-24,27.230000,27.230000,29.719999,26.830000,29.070000,0
2022-06-27,26.950001,26.950001,28.660000,26.930000,28.299999,0
2022-06-28,28.360001,28.360001,28.680000,26.469999,26.900000,0
2022-06-29,28.160000,28.160000,29.360001,27.850000,28.799999,0
2022-06-30,28.709999,28.709999,30.219999,28.280001,29.420000,0
2022-07-01,26.700001,26.700001,29.590000,26.690001,29.530001,0
2022-07-05,27.540001,27.540001,29.820000,27.299999,27.370001,0
2022-07-06,26.730000,26.730000,28.070000,26.430000,27.840000,0
2022-07-07,26.080000,26.080000,26.790001,25.660000,26.730000,0
2022-07-08,24.639999,24.639999,26.610001,24.430000,26.410000,0
2022-07-11,26.170000,26.170000,26.740000,25.790001,26.420000,0
2022-07-12,27.290001,27.290001,27.750000,25.820000,27.139999,0
2022-07-13,26.820000,26.820000,29.059999,26.230000,27.350000,0
2022-07-14,26.400000,26.400000,28.450001,26.200001,27.469999,0
2022-07-15,24.230000,24.230000,26.719999,24.129999,26.719999,0
2022-07-18,25.299999,25.299999,25.910000,24.379999,24.830000,0
2022-07-19,24.500000,24.500000,25.410000,24.230000,25.120001,0
2022-07-20,23.879999,23.879999,24.730000,23.400000,24.230000,0
2022-07-21,23.110001,23.110001,24.670000,22.920000,24.070000,0
2022-07-22,23.030001,23.030001,23.809999,22.410000,23.299999,0
2022-07-25,23.360001,23.360001,24.570000,23.190001,24.330000,0
2022-07-26,24.690001,24.690001,25.309999,23.820000,23.950001,0
2022-07-27,23.240000,23.240000,24.410000,23.020000,24.270000,0
2022-07-28,22.330000,22.330000,23.540001,22.219999,23.330000,0
2022-07-29,21.330000,21.330000,22.160000,21.209999,22.129999,0
2022-08-01,22.840000,22.840000,23.270000,22.260000,22.410000,0
2022-08-02,23.930000,23.930000,24.680000,22.670000,24.080000,0
2022-08-03,21.950001,21.950001,23.920000,21.680000,23.860001,0
2022-08-04,21.440001,21.440001,22.660000,21.440001,22.059999,0
2022-08-05,21.150000,21.150000,22.580000,20.760000,21.500000,0
2022-08-08,21.290001,21.290001,22.010000,20.830000,21.740000,0
2022-08-09,21.770000,21.770000,22.230000,21.410000,21.410000,0
2022-08-10,19.740000,19.740000,22.340000,19.540001,22.280001,0
2022-08-11,20.200001,20.200001,20.850000,19.709999,19.840000,0
2022-08-12,19.530001,19.530001,20.350000,19.120001,20.340000,0
2022-08-15,19.950001,19.950001,21.160000,19.809999,20.740000,0
2022-08-16,19.690001,19.690001,20.389999,19.500000,20.230000,0
2022-08-17,19.900000,19.900000,20.629999,19.410000,19.740000,0
2022-08-18,19.559999,19.559999,20.610001,19.430000,20.510000,0
