Date,DGS2
2023-01-02,
2023-01-03,4.400000
2023-01-04,4.360000
2023-01-05,4.450000
2023-01-06,4.240000
2023-01-09,4.190000
2023-01-10,4.240000
2023-01-11,4.200000
2023-01-12,4.120000
2023-01-13,4.220000
2023-01-16,
2023-01-17,4.180000
2023-01-18,4.060000
2023-01-19,4.090000
2023-01-20,4.140000
2023-01-23,4.210000
2023-01-24,4.120000
2023-01-25,4.110000
2023-01-26,4.170000
2023-01-27,4.190000
2023-01-30,4.250000
2023-01-31,4.210000
2023-02-01,4.090000
2023-02-02,4.090000
2023-02-03,4.300000
2023-02-06,4.440000
2023-02-07,4.470000
2023-02-08,4.450000
2023-02-09,4.480000
2023-02-10,4.500000
2023-02-13,4.520000
2023-02-14,4.600000
2023-02-15,4.620000
2023-02-16,4.620000
2023-02-17,4.600000
2023-02-20,
2023-02-21,4.670000
2023-02-22,4.660000
2023-02-23,4.660000
2023-02-24,4.780000
2023-02-27,4.780000
2023-02-28,4.810000
2023-03-01,4.890000
2023-03-02,4.890000
2023-03-03,4.860000
2023-03-06,4.890000
2023-03-07,5.000000
2023-03-08,5.050000
2023-03-09,4.900000
2023-03-10,4.600000
2023-03-13,4.030000
2023-03-14,4.200000
2023-03-15,3.930000
2023-03-16,4.140000
2023-03-17,3.810000
2023-03-20,3.920000
2023-03-21,4.170000
2023-03-22,3.960000
2023-03-23,3.760000
2023-03-24,3.760000
2023-03-27,3.940000
2023-03-28,4.020000
2023-03-29,4.080000
2023-03-30,4.100000
2023-03-31,4.060000
2023-04-03,3.970000
2023-04-04,3.840000
2023-04-05,3.790000
2023-04-06,3.820000
2023-04-07,3.970000
2023-04-10,4.000000
2023-04-11,4.030000
2023-04-12,3.950000
2023-04-13,3.960000
2023-04-14,4.080000
2023-04-17,4.180000
2023-04-18,4.190000
2023-04-19,4.240000
2023-04-20,4.140000
2023-04-21,4.170000
2023-04-24,4.120000
2023-04-25,3.860000
2023-04-26,3.900000
2023-04-27,4.070000
2023-04-28,4.040000
2023-05-01,4.140000
2023-05-02,3.970000
2023-05-03,3.890000
2023-05-04,3.750000
2023-05-05,3.920000
2023-05-08,4.000000
2023-05-09,4.010000
2023-05-10,3.900000
2023-05-11,3.890000
2023-05-12,3.980000
2023-05-15,3.990000
2023-05-16,4.060000
2023-05-17,4.120000
2023-05-18,4.240000
2023-05-19,4.280000
2023-05-22,4.290000
2023-05-23,4.260000
2023-05-24,4.310000
2023-05-25,4.500000
2023-05-26,4.540000
2023-05-29,
2023-05-30,4.460000
2023-05-31,4.400000
2023-06-01,4.330000
2023-06-02,4.500000
2023-06-05,4.460000
2023-06-06,4.510000
2023-06-07,4.560000
2023-06-08,4.520000
2023-06-09,4.590000
2023-06-12,4.550000
2023-06-13,4.670000
2023-06-14,4.740000
2023-06-15,4.620000
2023-06-16,4.700000
2023-06-19,
2023-06-20,4.680000
2023-06-21,4.680000
2023-06-22,4.770000
2023-06-23,4.710000
2023-06-26,4.650000
2023-06-27,4.740000
2023-06-28,4.710000
2023-06-29,4.870000
2023-06-30,4.870000
2023-07-03,4.940000
2023-07-04,
2023-07-05,4.940000
2023-07-06,4.990000
2023-07-07,4.940000
2023-07-10,4.850000
2023-07-11,4.880000
2023-07-12,4.720000
2023-07-13,4.590000
2023-07-14,4.740000
2023-07-17,4.740000
2023-07-18,4.740000
2023-07-19,4.740000
2023-07-20,4.800000
2023-07-21,4.820000
2023-07-24,4.810000
2023-07-25,4.850000
2023-07-26,4.820000
2023-07-27,4.910000
2023-07-28,4.870000
2023-07-31,4.880000
2023-08-01,4.920000
2023-08-02,4.880000
2023-08-03,4.900000
2023-08-04,4.780000
2023-08-07,4.760000
2023-08-08,4.740000
2023-08-09,4.790000
2023-08-10,4.820000
2023-08-11,4.890000
2023-08-14,4.960000
2023-08-15,4.920000
2023-08-16,4.970000
2023-08-17,4.940000
2023-08-18,4.920000
2023-08-21,4.970000
2023-08-22,5.020000
2023-08-23,4.950000
2023-08-24,4.980000
2023-08-25,5.030000
2023-08-28,4.980000
2023-08-29,4.870000
2023-08-30,4.900000
2023-08-31,4.850000
2023-09-01,4.870000
2023-09-04,
2023-09-05,4.940000
2023-09-06,5.010000
2023-09-07,4.940000
2023-09-08,4.980000
2023-09-11,4.970000
2023-09-12,4.980000
2023-09-13,4.960000
2023-09-14,5.000000
2023-09-15,5.020000
2023-09-18,5.050000
2023-09-19,5.080000
2023-09-20,5.120000
2023-09-21,5.120000
2023-09-22,5.100000
2023-09-25,5.090000
2023-09-26,5.040000
2023-09-27,5.100000
2023-09-28,5.040000
2023-09-29,5.030000
2023-10-02,5.120000
2023-10-03,5.150000
2023-10-04,5.050000
2023-10-05,5.030000
2023-10-06,5.080000
2023-10-09,
2023-10-10,4.960000
2023-10-11,4.990000
2023-10-12,5.060000
2023-10-13,5.040000
2023-10-16,5.090000
2023-10-17,5.190000
2023-10-18,5.190000
2023-10-19,5.140000
2023-10-20,5.070000
2023-10-23,5.050000
2023-10-24,5.020000
2023-10-25,5.080000
2023-10-26,5.020000
2023-10-27,4.990000
2023-10-30,5.030000
2023-10-31,5.070000
2023-11-01,4.950000
2023-11-02,4.980000
2023-11-03,4.830000
2023-11-06,4.930000
2023-11-07,4.910000
2023-11-08,4.930000
2023-11-09,5.030000
2023-11-10,5.040000
2023-11-13,5.020000
2023-11-14,4.800000
2023-11-15,4.900000
2023-11-16,4.830000
2023-11-17,4.880000
2023-11-20,4.890000
2023-11-21,4.860000
2023-11-22,4.890000
2023-11-23,
2023-11-24,4.920000
2023-11-27,4.840000
2023-11-28,4.730000
2023-11-29,4.640000
2023-11-30,4.730000
2023-12-01,4.560000
2023-12-04,4.640000
2023-12-05,4.570000
2023-12-06,4.600000
2023-12-07,4.580000
2023-12-08,4.710000
2023-12-11,4.710000
2023-12-12,4.730000
2023-12-13,4.460000
2023-12-14,4.370000
2023-12-15,4.440000
2023-12-18,4.430000
2023-12-19,4.410000
2023-12-20,4.340000
2023-12-21,4.330000
2023-12-22,4.310000
2023-12-25,
2023-12-26,4.260000
2023-12-27,4.200000
2023-12-28,4.260000
2023-12-29,4.230000
