Date,BAMLH0A0HYM2
2023-01-02,
2023-01-03,4.700000
2023-01-04,4.620000
2023-01-05,4.580000
2023-01-06,4.470000
2023-01-09,4.370000
2023-01-10,4.330000
2023-01-11,4.300000
2023-01-12,4.290000
2023-01-13,4.210000
2023-01-16,4.190000
2023-01-17,4.190000
2023-01-18,4.250000
2023-01-19,4.390000
2023-01-20,4.350000
2023-01-23,4.270000
2023-01-24,4.330000
2023-01-25,4.350000
2023-01-26,4.240000
2023-01-27,4.230000
2023-01-30,4.260000
2023-01-31,4.300000
2023-02-01,4.310000
2023-02-02,3.940000
2023-02-03,3.950000
2023-02-06,3.990000
2023-02-07,3.990000
2023-02-08,4.070000
2023-02-09,4.050000
2023-02-10,4.240000
2023-02-13,4.230000
2023-02-14,4.150000
2023-02-15,4.180000
2023-02-16,4.240000
2023-02-17,4.380000
2023-02-20,4.380000
2023-02-21,4.490000
2023-02-22,4.410000
2023-02-23,4.300000
2023-02-24,4.280000
2023-02-27,4.210000
2023-02-28,4.220000
2023-03-01,4.170000
2023-03-02,4.180000
2023-03-03,4.050000
2023-03-06,3.970000
2023-03-07,3.980000
2023-03-08,4.090000
2023-03-09,4.270000
2023-03-10,4.610000
2023-03-13,5.030000
2023-03-14,4.740000
2023-03-15,5.200000
2023-03-16,4.930000
2023-03-17,5.170000
2023-03-20,5.150000
2023-03-21,4.850000
2023-03-22,5.000000
2023-03-23,5.100000
2023-03-24,5.220000
2023-03-27,5.030000
2023-03-28,5.010000
2023-03-29,4.830000
2023-03-30,4.740000
2023-03-31,4.580000
2023-04-03,4.580000
2023-04-04,4.730000
2023-04-05,4.840000
2023-04-06,4.840000
2023-04-07,
2023-04-10,4.700000
2023-04-11,4.630000
2023-04-12,4.620000
2023-04-13,4.490000
2023-04-14,4.430000
2023-04-17,4.410000
2023-04-18,4.370000
2023-04-19,4.410000
2023-04-20,4.540000
2023-04-21,4.460000
2023-04-24,4.480000
2023-04-25,4.640000
2023-04-26,4.630000
2023-04-27,4.480000
2023-04-28,4.500000
2023-04-30,4.530000
2023-05-01,4.450000
2023-05-02,4.700000
2023-05-03,4.790000
2023-05-04,4.950000
2023-05-05,4.770000
2023-05-08,4.720000
2023-05-09,4.740000
2023-05-10,4.780000
2023-05-11,4.810000
2023-05-12,4.760000
2023-05-15,4.770000
2023-05-16,4.790000
2023-05-17,4.750000
2023-05-18,4.690000
2023-05-19,4.620000
2023-05-22,4.540000
2023-05-23,4.600000
2023-05-24,4.680000
2023-05-25,4.580000
2023-05-26,4.530000
2023-05-29,4.540000
2023-05-30,4.580000
2023-05-31,4.690000
2023-06-01,4.650000
2023-06-02,4.370000
2023-06-05,4.390000
2023-06-06,4.390000
2023-06-07,4.330000
2023-06-08,4.390000
2023-06-09,4.290000
2023-06-12,4.340000
2023-06-13,4.180000
2023-06-14,4.180000
2023-06-15,4.210000
2023-06-16,4.150000
2023-06-19,4.150000
2023-06-20,4.220000
2023-06-21,4.320000
2023-06-22,4.300000
2023-06-23,4.400000
2023-06-26,4.450000
2023-06-27,4.300000
2023-06-28,4.270000
2023-06-29,4.140000
2023-06-30,4.050000
2023-07-03,3.990000
2023-07-04,3.990000
2023-07-05,4.010000
2023-07-06,4.100000
2023-07-07,4.080000
2023-07-10,4.130000
2023-07-11,4.050000
2023-07-12,3.950000
2023-07-13,3.970000
2023-07-14,3.900000
2023-07-17,3.970000
2023-07-18,3.900000
2023-07-19,3.890000
2023-07-20,3.900000
2023-07-21,3.890000
2023-07-24,3.820000
2023-07-25,3.840000
2023-07-26,3.910000
2023-07-27,3.780000
2023-07-28,3.820000
2023-07-31,3.790000
2023-08-01,3.820000
2023-08-02,3.960000
2023-08-03,3.980000
2023-08-04,4.010000
2023-08-07,3.970000
2023-08-08,4.000000
2023-08-09,3.940000
2023-08-10,3.830000
2023-08-11,3.830000
2023-08-14,3.790000
2023-08-15,3.850000
2023-08-16,3.810000
2023-08-17,3.950000
2023-08-18,4.020000
2023-08-21,3.970000
2023-08-22,3.930000
2023-08-23,3.920000
2023-08-24,3.910000
2023-08-25,3.900000
2023-08-28,3.860000
2023-08-29,3.870000
2023-08-30,3.800000
2023-08-31,3.850000
2023-09-01,3.810000
2023-09-04,3.810000
2023-09-05,3.830000
2023-09-06,3.860000
2023-09-07,3.900000
2023-09-08,3.850000
2023-09-11,3.820000
2023-09-12,3.840000
2023-09-13,3.850000
2023-09-14,3.780000
2023-09-15,3.790000
2023-09-18,3.820000
2023-09-19,3.820000
2023-09-20,3.770000
2023-09-21,3.890000
2023-09-22,3.930000
2023-09-25,3.970000
2023-09-26,4.040000
2023-09-27,4.030000
2023-09-28,4.090000
2023-09-29,4.030000
2023-09-30,4.030000
2023-10-02,4.110000
2023-10-03,4.260000
2023-10-04,4.370000
2023-10-05,4.380000
2023-10-06,4.330000
2023-10-09,4.340000
2023-10-10,4.260000
2023-10-11,4.250000
2023-10-12,4.250000
2023-10-13,4.300000
2023-10-16,4.270000
2023-10-17,4.250000
2023-10-18,4.320000
2023-10-19,4.370000
2023-10-20,4.520000
2023-10-23,4.510000
2023-10-24,4.410000
2023-10-25,4.370000
2023-10-26,4.500000
2023-10-27,4.530000
2023-10-30,4.500000
2023-10-31,4.420000
2023-11-01,4.470000
2023-11-02,4.150000
2023-11-03,4.040000
