Date,DGS10
2023-01-02,
2023-01-03,3.790000
2023-01-04,3.690000
2023-01-05,3.710000
2023-01-06,3.550000
2023-01-09,3.530000
2023-01-10,3.610000
2023-01-11,3.540000
2023-01-12,3.430000
2023-01-13,3.490000
2023-01-16,
2023-01-17,3.530000
2023-01-18,3.370000
2023-01-19,3.390000
2023-01-20,3.480000
2023-01-23,3.520000
2023-01-24,3.460000
2023-01-25,3.460000
2023-01-26,3.490000
2023-01-27,3.520000
2023-01-30,3.550000
2023-01-31,3.520000
2023-02-01,3.390000
2023-02-02,3.400000
2023-02-03,3.530000
2023-02-06,3.630000
2023-02-07,3.670000
2023-02-08,3.630000
2023-02-09,3.670000
2023-02-10,3.740000
2023-02-13,3.720000
2023-02-14,3.770000
2023-02-15,3.810000
2023-02-16,3.860000
2023-02-17,3.820000
2023-02-20,
2023-02-21,3.950000
2023-02-22,3.930000
2023-02-23,3.880000
2023-02-24,3.950000
2023-02-27,3.920000
2023-02-28,3.920000
2023-03-01,4.010000
2023-03-02,4.080000
2023-03-03,3.970000
2023-03-06,3.980000
2023-03-07,3.970000
2023-03-08,3.980000
2023-03-09,3.930000
2023-03-10,3.700000
2023-03-13,3.550000
2023-03-14,3.640000
2023-03-15,3.510000
2023-03-16,3.560000
2023-03-17,3.390000
2023-03-20,3.470000
2023-03-21,3.590000
2023-03-22,3.480000
2023-03-23,3.380000
2023-03-24,3.380000
2023-03-27,3.530000
2023-03-28,3.550000
2023-03-29,3.570000
2023-03-30,3.550000
2023-03-31,3.480000
2023-04-03,3.430000
2023-04-04,3.350000
2023-04-05,3.300000
2023-04-06,3.300000
2023-04-07,3.390000
2023-04-10,3.410000
2023-04-11,3.430000
2023-04-12,3.410000
2023-04-13,3.450000
2023-04-14,3.520000
2023-04-17,3.600000
2023-04-18,3.580000
2023-04-19,3.600000
2023-04-20,3.540000
2023-04-21,3.570000
2023-04-24,3.520000
2023-04-25,3.400000
2023-04-26,3.430000
2023-04-27,3.530000
2023-04-28,3.440000
2023-05-01,3.590000
2023-05-02,3.440000
2023-05-03,3.380000
2023-05-04,3.370000
2023-05-05,3.440000
2023-05-08,3.520000
2023-05-09,3.530000
2023-05-10,3.430000
2023-05-11,3.390000
2023-05-12,3.460000
2023-05-15,3.500000
2023-05-16,3.540000
2023-05-17,3.570000
2023-05-18,3.650000
2023-05-19,3.700000
2023-05-22,3.720000
2023-05-23,3.700000
2023-05-24,3.730000
2023-05-25,3.830000
2023-05-26,3.800000
2023-05-29,
2023-05-30,3.690000
2023-05-31,3.640000
2023-06-01,3.610000
2023-06-02,3.690000
2023-06-05,3.690000
2023-06-06,3.700000
2023-06-07,3.790000
2023-06-08,3.730000
2023-06-09,3.750000
2023-06-12,3.730000
2023-06-13,3.840000
2023-06-14,3.830000
2023-06-15,3.720000
2023-06-16,3.770000
2023-06-19,
2023-06-20,3.740000
2023-06-21,3.720000
2023-06-22,3.800000
2023-06-23,3.740000
2023-06-26,3.720000
2023-06-27,3.770000
2023-06-28,3.710000
2023-06-29,3.850000
2023-06-30,3.810000
2023-07-03,3.860000
