Date,DGS1
2023-01-02,4.720000
2023-01-03,4.720000
2023-01-04,4.710000
2023-01-05,4.780000
2023-01-06,4.710000
2023-01-09,4.690000
2023-01-10,4.740000
2023-01-11,4.730000
2023-01-12,4.660000
2023-01-13,4.690000
2023-01-16,4.670000
2023-01-17,4.670000
2023-01-18,4.630000
2023-01-19,4.650000
2023-01-20,4.680000
2023-01-23,4.700000
2023-01-24,4.700000
2023-01-25,4.670000
2023-01-26,4.680000
2023-01-27,4.680000
2023-01-30,4.710000
2023-01-31,4.680000
2023-02-01,4.660000
2023-02-02,4.640000
2023-02-03,4.790000
2023-02-06,4.850000
2023-02-07,4.880000
2023-02-08,4.870000
2023-02-09,4.880000
2023-02-10,4.890000
2023-02-13,4.910000
2023-02-14,4.990000
2023-02-15,4.960000
2023-02-16,4.990000
2023-02-17,5.000000
2023-02-20,5.070000
2023-02-21,5.070000
2023-02-22,5.070000
2023-02-23,5.030000
2023-02-24,5.050000
2023-02-27,5.030000
2023-02-28,5.020000
2023-03-01,5.060000
2023-03-02,5.040000
2023-03-03,5.030000
2023-03-06,5.050000
2023-03-07,5.220000
2023-03-08,5.250000
2023-03-09,5.180000
2023-03-10,4.900000
2023-03-13,4.300000
2023-03-14,4.450000
2023-03-15,4.190000
2023-03-16,4.490000
2023-03-17,4.260000
2023-03-20,4.340000
2023-03-21,4.680000
2023-03-22,4.560000
2023-03-23,4.380000
2023-03-24,4.320000
2023-03-27,4.510000
2023-03-28,4.550000
2023-03-29,4.590000
2023-03-30,4.630000
2023-03-31,4.640000
2023-04-03,4.600000
2023-04-04,4.500000
2023-04-05,4.430000
2023-04-06,4.510000
2023-04-07,4.610000
2023-04-10,4.650000
2023-04-11,4.670000
2023-04-12,4.640000
2023-04-13,4.660000
2023-04-14,4.770000
2023-04-17,4.800000
2023-04-18,4.810000
2023-04-19,4.840000
2023-04-20,4.770000
2023-04-21,4.780000
2023-04-24,4.760000
2023-04-25,4.600000
2023-04-26,4.640000
2023-04-27,4.780000
2023-04-28,4.800000
2023-05-01,4.860000
2023-05-02,4.740000
2023-05-03,4.700000
2023-05-04,4.590000
2023-05-05,4.730000
2023-05-08,4.790000
2023-05-09,4.810000
2023-05-10,4.700000
2023-05-11,4.700000
2023-05-12,4.750000
2023-05-15,4.730000
2023-05-16,4.880000
2023-05-17,4.920000
2023-05-18,5.020000
2023-05-19,5.020000
2023-05-22,5.070000
2023-05-23,5.060000
2023-05-24,5.120000
2023-05-25,5.240000
2023-05-26,5.250000
2023-05-29,5.220000
2023-05-30,5.220000
2023-05-31,5.180000
2023-06-01,5.110000
2023-06-02,5.220000
2023-06-05,5.170000
2023-06-06,5.200000
2023-06-07,5.160000
2023-06-08,5.120000
2023-06-09,5.170000
