Date,DGS5
2023-01-02,3.940000
2023-01-03,3.940000
2023-01-04,3.850000
2023-01-05,3.900000
2023-01-06,3.690000
2023-01-09,3.660000
2023-01-10,3.720000
2023-01-11,3.660000
2023-01-12,3.530000
2023-01-13,3.600000
2023-01-16,3.600000
2023-01-17,3.600000
2023-01-18,3.430000
2023-01-19,3.480000
2023-01-20,3.560000
2023-01-23,3.610000
2023-01-24,3.580000
2023-01-25,3.540000
2023-01-26,3.580000
2023-01-27,3.620000
2023-01-30,3.680000
2023-01-31,3.630000
2023-02-01,3.480000
2023-02-02,3.490000
2023-02-03,3.670000
2023-02-06,3.810000
2023-02-07,3.850000
2023-02-08,3.820000
2023-02-09,3.870000
2023-02-10,3.930000
2023-02-13,3.930000
2023-02-14,4.000000
2023-02-15,4.040000
2023-02-16,4.060000
2023-02-17,4.030000
2023-02-20,4.160000
2023-02-21,4.160000
2023-02-22,4.130000
2023-02-23,4.090000
2023-02-24,4.190000
2023-02-27,4.170000
2023-02-28,4.180000
2023-03-01,4.270000
2023-03-02,4.320000
2023-03-03,4.260000
2023-03-06,4.270000
2023-03-07,4.310000
2023-03-08,4.340000
2023-03-09,4.220000
2023-03-10,3.960000
2023-03-13,3.680000
2023-03-14,3.780000
2023-03-15,3.590000
2023-03-16,3.720000
2023-03-17,3.440000
2023-03-20,3.560000
2023-03-21,3.730000
2023-03-22,3.540000
2023-03-23,3.390000
2023-03-24,3.410000
2023-03-27,3.590000
2023-03-28,3.630000
2023-03-29,3.670000
2023-03-30,3.660000
2023-03-31,3.600000
2023-04-03,3.520000
2023-04-04,3.390000
2023-04-05,3.360000
2023-04-06,3.370000
2023-04-07,3.490000
2023-04-10,3.520000
2023-04-11,3.540000
2023-04-12,3.460000
2023-04-13,3.510000
2023-04-14,3.600000
2023-04-17,3.690000
2023-04-18,3.690000
2023-04-19,3.710000
2023-04-20,3.630000
2023-04-21,3.660000
2023-04-24,3.600000
2023-04-25,3.430000
2023-04-26,3.460000
2023-04-27,3.600000
2023-04-28,3.510000
2023-05-01,3.640000
2023-05-02,3.460000
2023-05-03,3.370000
2023-05-04,3.290000
2023-05-05,3.410000
2023-05-08,3.490000
2023-05-09,3.510000
2023-05-10,3.370000
2023-05-11,3.360000
2023-05-12,3.450000
2023-05-15,3.460000
2023-05-16,3.520000
2023-05-17,3.580000
2023-05-18,3.690000
2023-05-19,3.760000
2023-05-22,3.770000
2023-05-23,3.760000
2023-05-24,3.750000
2023-05-25,3.900000
2023-05-26,3.920000
2023-05-29,3.810000
2023-05-30,3.810000
2023-05-31,3.740000
2023-06-01,3.700000
2023-06-02,3.840000
2023-06-05,3.820000
2023-06-06,3.850000
2023-06-07,3.930000
2023-06-08,3.870000
2023-06-09,3.920000
2023-06-12,3.890000
2023-06-13,4.010000
2023-06-14,4.060000
2023-06-15,3.910000
2023-06-16,3.990000
2023-06-19,3.960000
2023-06-20,3.960000
2023-06-21,3.950000
2023-06-22,4.030000
2023-06-23,3.990000
2023-06-26,3.960000
2023-06-27,4.020000
2023-06-28,3.970000
2023-06-29,4.140000
2023-06-30,4.130000
2023-07-03,4.190000
2023-07-04,4.250000
2023-07-05,4.250000
2023-07-06,4.370000
2023-07-07,4.350000
2023-07-10,4.250000
2023-07-11,4.240000
2023-07-12,4.070000
2023-07-13,3.930000
2023-07-14,4.040000
2023-07-17,4.020000
2023-07-18,4.000000
2023-07-19,3.980000
2023-07-20,4.080000
2023-07-21,4.090000
2023-07-24,4.130000
2023-07-25,4.150000
2023-07-26,4.090000
2023-07-27,4.240000
2023-07-28,4.180000
2023-07-31,4.180000
2023-08-01,4.240000
2023-08-02,4.240000
2023-08-03,4.300000
2023-08-04,4.150000
2023-08-07,4.160000
2023-08-08,4.100000
2023-08-09,4.120000
2023-08-10,4.210000
2023-08-11,4.310000
2023-08-14,4.360000
2023-08-15,4.360000
2023-08-16,4.420000
2023-08-17,4.420000
2023-08-18,4.380000
2023-08-21,4.460000
2023-08-22,4.490000
2023-08-23,4.360000
2023-08-24,4.390000
2023-08-25,4.440000
2023-08-28,4.380000
2023-08-29,4.260000
2023-08-30,4.270000
2023-08-31,4.230000
2023-09-01,4.290000
2023-09-04,4.370000
2023-09-05,4.370000
2023-09-06,4.440000
2023-09-07,4.380000
2023-09-08,4.390000
2023-09-11,4.400000
2023-09-12,4.410000
2023-09-13,4.390000
2023-09-14,4.420000
2023-09-15,4.450000
2023-09-18,4.460000
2023-09-19,4.510000
2023-09-20,4.520000
2023-09-21,4.610000
2023-09-22,4.570000
2023-09-25,4.620000
2023-09-26,4.620000
2023-09-27,4.670000
2023-09-28,4.620000
2023-09-29,4.600000
2023-10-02,4.720000
2023-10-03,4.800000
2023-10-04,4.720000
2023-10-05,4.680000
2023-10-06,4.750000
2023-10-09,4.620000
2023-10-10,4.620000
2023-10-11,4.590000
2023-10-12,4.690000
2023-10-13,4.650000
2023-10-16,4.720000
2023-10-17,4.860000
2023-10-18,4.920000
2023-10-19,4.950000
2023-10-20,4.860000
2023-10-23,4.810000
2023-10-24,4.820000
2023-10-25,4.890000
2023-10-26,4.790000
2023-10-27,4.760000
2023-10-30,4.800000
2023-10-31,4.820000
2023-11-01,4.670000
2023-11-02,4.650000
2023-11-03,4.490000
2023-11-06,4.600000
2023-11-07,4.530000
2023-11-08,4.510000
2023-11-09,4.650000
2023-11-10,4.650000
2023-11-13,4.660000
2023-11-14,4.420000
2023-11-15,4.520000
2023-11-16,4.430000
2023-11-17,4.450000
2023-11-20,4.440000
2023-11-21,4.410000
2023-11-22,4.440000
2023-11-23,4.490000
2023-11-24,4.490000
2023-11-27,4.380000
2023-11-28,4.290000
2023-11-29,4.220000
2023-11-30,4.310000
2023-12-01,4.140000
2023-12-04,4.230000
2023-12-05,4.140000
2023-12-06,4.120000
2023-12-07,4.110000
2023-12-08,4.240000
2023-12-11,4.250000
2023-12-12,4.230000
2023-12-13,4.000000
2023-12-14,3.900000
2023-12-15,3.910000
2023-12-18,3.940000
2023-12-19,3.940000
2023-12-20,3.860000
2023-12-21,3.870000
2023-12-22,3.870000
2023-12-25,3.890000
2023-12-26,3.890000
2023-12-27,3.780000
2023-12-28,3.830000
2023-12-29,3.840000
