Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,245.419998,245.419998,245.529999,244.080002,244.220001,6241900
2025-01-03,243.490005,243.490005,244.820007,243.360001,244.559998,4872100
2025-01-06,243.190002,243.190002,243.789993,242.050003,242.330002,3758900
2025-01-07,244.559998,244.559998,245.770004,243.809998,245.520004,5090300
2025-01-08,245.860001,245.860001,246.449997,244.509995,245.720001,6303300
2025-01-10,248.210007,248.210007,249.039993,247.550003,248.009995,12380100
2025-01-13,245.740005,245.740005,246.789993,245.149994,246.339996,8448600
2025-01-14,247.029999,247.029999,247.039993,245.520004,245.619995,4914800
2025-01-15,248.880005,248.880005,248.899994,247.009995,248.210007,6345000
2025-01-16,250.600006,250.600006,251.389999,250.270004,250.559998,9236000
2025-01-17,249.270004,249.270004,250.809998,249.149994,249.699997,8312900
2025-01-21,253.130005,253.130005,253.360001,251.830002,251.949997,7668100
2025-01-22,254.429993,254.429993,254.679993,253.779999,254.289993,5213800
2025-01-23,254.070007,254.070007,254.539993,252.820007,253.190002,6511500
2025-01-24,255.649994,255.649994,257.070007,255.610001,255.960007,7341300
2025-01-27,252.990005,252.990005,254.259995,251.919998,253.860001,5799800
2025-01-28,255.179993,255.179993,255.250000,253.889999,254.229996,5332000
2025-01-29,254.199997,254.199997,254.820007,253.300003,254.550003,5671800
2025-01-30,258.049988,258.049988,258.290009,256.450012,257.200012,12981200
2025-01-31,258.559998,258.559998,259.989990,257.859985,259.079987,8961100
2025-02-03,259.940002,259.940002,261.390015,259.519989,259.750000,11521100
2025-02-04,262.500000,262.500000,262.540009,261.350006,261.829987,9850400
2025-02-05,264.130005,264.130005,265.989990,263.890015,264.450012,12681100
2025-02-06,263.429993,263.429993,263.720001,261.489990,263.660004,8731400
2025-02-07,263.899994,263.899994,266.350006,263.260010,265.220001,9154000
2025-02-10,268.369995,268.369995,268.660004,267.239990,268.000000,13250300
2025-02-11,267.390015,267.390015,268.359985,266.709991,267.700012,7169500
2025-02-12,267.670013,267.670013,268.429993,266.350006,267.149994,9328600
2025-02-13,270.309998,270.309998,270.390015,268.220001,268.399994,8347500
2025-02-14,266.290009,266.290009,270.209991,265.450012,270.070007,11546700
2025-02-18,270.700012,270.700012,271.010010,269.600006,269.679993,8185900
2025-02-19,270.850006,270.850006,271.329987,269.239990,270.679993,9342500
2025-02-20,270.989990,270.989990,271.839996,270.170013,270.230011,7356900
2025-02-21,270.739990,270.739990,271.510010,269.510010,270.799988,8917400
2025-02-24,272.209991,272.209991,272.320007,270.380005,271.450012,5374400
2025-02-25,268.619995,268.619995,271.679993,266.450012,271.459991,10079800
2025-02-26,269.029999,269.029999,269.079987,266.660004,267.079987,7276000
2025-02-27,264.929993,264.929993,266.670013,264.450012,266.489990,9374600
2025-02-28,263.269989,263.269989,263.399994,261.250000,262.559998,11504500
2025-03-03,266.739990,266.739990,266.880005,265.070007,265.070007,7725600
2025-03-04,269.059998,269.059998,269.399994,267.519989,269.010010,8481300
2025-03-05,269.619995,269.619995,270.260010,267.959991,267.970001,6990400
2025-03-06,268.250000,268.250000,269.510010,268.160004,268.250000,6136400
2025-03-07,268.390015,268.390015,270.339996,267.640015,269.089996,10431200
2025-03-10,266.040009,266.040009,268.440002,265.640015,267.619995,7593900
2025-03-11,269.160004,269.160004,269.730011,268.440002,268.470001,8436600
2025-03-12,270.329987,270.329987,271.230011,268.359985,268.470001,7236200
2025-03-13,275.130005,275.130005,275.350006,271.549988,271.570007,13741500
2025-03-14,275.239990,275.239990,276.299988,274.660004,276.269989,13365000
2025-03-17,276.730011,276.730011,276.790009,275.390015,275.540009,8583400
2025-03-18,279.959991,279.959991,280.209991,278.970001,279.899994,9596500
2025-03-19,281.109985,281.109985,281.480011,279.059998,279.850006,8822200
2025-03-20,280.750000,280.750000,280.899994,279.429993,279.489990,5863300
2025-03-21,278.489990,278.489990,279.459991,276.589996,279.459991,9359300
2025-03-24,277.250000,277.250000,279.089996,276.859985,278.910004,7870100
2025-03-25,278.470001,278.470001,279.959991,278.269989,278.779999,5090200
2025-03-26,278.239990,278.239990,279.019989,277.779999,278.929993,3717500
2025-03-27,281.970001,281.970001,282.070007,279.589996,280.549988,8476300
2025-03-28,284.059998,284.059998,284.640015,282.859985,283.820007,9563700
2025-03-31,288.140015,288.140015,288.390015,285.850006,287.529999,13925100
2025-04-01,287.570007,287.570007,289.130005,285.910004,288.540009,15923600
2025-04-02,288.160004,288.160004,289.029999,287.359985,288.279999,11074800
2025-04-03,286.420013,286.420013,289.089996,282.450012,282.779999,20524400
2025-04-04,279.720001,279.720001,284.029999,278.019989,283.640015,21517200
2025-04-07,273.709991,273.709991,280.140015,272.579987,278.859985,19807000
2025-04-08,275.200012,275.200012,278.320007,274.239990,277.869995,12639500
2025-04-09,285.380005,285.380005,285.869995,281.040009,282.220001,25342200
2025-04-10,292.350006,292.350006,292.859985,287.230011,288.809998,19837800
2025-04-11,297.929993,297.929993,299.269989,296.809998,297.959991,21080100
2025-04-14,296.230011,296.230011,296.579987,294.529999,295.540009,12427600
2025-04-15,297.779999,297.779999,298.019989,296.089996,296.929993,7924100
2025-04-16,307.470001,307.470001,308.059998,303.799988,304.649994,20778100
2025-04-17,306.119995,306.119995,307.130005,302.730011,306.309998,18287800
2025-04-21,315.589996,315.589996,316.410004,313.950012,315.019989,20372300
2025-04-22,311.109985,311.109985,317.630005,310.359985,317.489990,35242300
2025-04-23,303.649994,303.649994,304.739990,300.589996,304.179993,25421500
2025-04-24,308.070007,308.070007,308.500000,304.709991,306.980011,10845000
2025-04-25,304.730011,304.730011,305.369995,301.010010,301.779999,10691600
2025-04-28,309.070007,309.070007,309.109985,302.970001,304.149994,9375500
2025-04-29,306.059998,306.059998,306.950012,304.000000,305.809998,6852100
2025-04-30,303.769989,303.769989,306.070007,303.440002,304.609985,8331900
2025-05-01,297.459991,297.459991,297.940002,295.320007,297.410004,14969100
2025-05-02,297.980011,297.980011,300.850006,297.029999,300.170013,8678400
2025-05-05,306.880005,306.880005,307.649994,304.679993,305.920013,8924000
2025-05-06,315.480011,315.480011,315.619995,311.399994,313.119995,11445300
2025-05-07,310.750000,310.750000,313.260010,310.079987,312.100006,7888300
2025-05-08,304.630005,304.630005,310.480011,303.049988,309.760010,11927600
2025-05-09,306.839996,306.839996,308.570007,306.010010,307.790009,6913100
2025-05-12,298.190002,298.190002,299.470001,296.820007,298.329987,14375900
2025-05-13,299.459991,299.459991,300.299988,297.239990,299.019989,10233600
2025-05-14,293.160004,293.160004,294.799988,291.959991,293.670013,14800600
2025-05-15,297.839996,297.839996,297.899994,293.750000,294.100006,13497700
2025-05-16,294.239990,294.239990,294.579987,291.779999,292.619995,14173000
2025-05-19,298.029999,298.029999,298.579987,296.480011,297.850006,11656300
2025-05-20,303.579987,303.579987,303.679993,298.299988,298.350006,12851000
2025-05-21,305.820007,305.820007,306.459991,303.670013,304.549988,12414500
2025-05-22,303.109985,303.109985,305.279999,302.100006,305.089996,9704200
2025-05-23,309.750000,309.750000,310.250000,307.470001,308.859985,13339500
2025-05-27,304.500000,304.500000,304.880005,302.739990,303.809998,9578500
2025-05-28,303.809998,303.809998,304.989990,303.059998,304.640015,8803300
2025-05-29,305.609985,305.609985,306.890015,304.459991,305.739990,9487900
2025-05-30,303.600006,303.600006,304.019989,301.500000,303.640015,9553300
2025-06-02,311.670013,311.670013,311.720001,308.720001,309.209991,13593200
2025-06-03,308.910004,308.910004,309.559998,307.149994,309.559998,9315100
2025-06-04,310.899994,310.899994,311.880005,308.739990,309.410004,7462500
2025-06-05,309.329987,309.329987,312.200012,307.649994,311.239990,10817800
2025-06-06,305.179993,305.179993,309.200012,305.100006,309.089996,7787500
2025-06-09,306.619995,306.619995,307.609985,305.059998,305.390015,7159000
2025-06-10,306.709991,306.709991,308.600006,305.869995,308.309998,7071700
2025-06-11,308.369995,308.369995,308.619995,305.850006,307.500000,9248800
2025-06-12,312.200012,312.200012,313.100006,311.149994,311.739990,11531400
2025-06-13,316.290009,316.290009,317.600006,315.040009,317.260010,16592900
2025-06-16,311.779999,311.779999,314.869995,311.649994,314.799988,12848400
