date,order_id,symbol,side,qty,status,reason,filled_qty,remaining_qty,fill_price
2026-02-12,ORD00000032,TLT,sell,183.260943,filled,randomized_matching_sim,183.260943,0.0,102.29946112359521
2026-02-12,ORD00000033,XLE,sell,29.683733999999998,cancelled,randomized_matching_sim,0.0,0.0,120.2170920224608
2026-02-12,ORD00000034,GLD,buy,28.863607,filled,randomized_matching_sim,28.863607,0.0,112.36140620925889
2026-02-13,ORD00000036,GLD,sell,77.45843599999999,sent,,,,
2026-02-13,ORD00000037,UUP,sell,251.834681,sent,,,,
2026-02-13,ORD00000038,XLE,sell,29.683733999999998,sent,,,,
2026-02-13,ORD00000039,SPY,buy,92.66967,sent,,,,
2026-02-13,ORD00000040,TLT,buy,444.20575399999996,rejected,insufficient_cash,,,
2026-02-13,ORD00000036,GLD,sell,77.45843599999999,filled,randomized_matching_sim,77.45843599999999,0.0,115.07656114996836
2026-02-13,ORD00000037,UUP,sell,251.834681,partial,randomized_matching_sim,159.4022433701942,92.43243762980578,99.17090950605379
2026-02-13,ORD00000038,XLE,sell,29.683733999999998,partial,randomized_matching_sim,17.93332405289176,11.750409947108238,121.03829129458157
2026-02-13,ORD00000039,SPY,buy,92.66967,partial,randomized_matching_sim,21.506505357926528,71.16316464207347,99.9087106526309
2026-02-17,ORD00000041,GLD,sell,4.186299,sent,,,,
2026-02-17,ORD00000042,XLE,sell,11.750409999999999,sent,,,,
2026-02-17,ORD00000043,SPY,buy,276.259463,sent,,,,
2026-02-17,ORD00000044,TLT,buy,88.633985,sent,,,,
2026-02-17,ORD00000045,UUP,buy,73.463672,sent,,,,
2026-02-17,ORD00000041,GLD,sell,4.186299,filled,randomized_matching_sim,4.186299,0.0,111.43250267332671
2026-02-17,ORD00000042,XLE,sell,11.750409999999999,filled,randomized_matching_sim,11.750409999999999,0.0,119.69465615598519
2026-02-17,ORD00000043,SPY,buy,276.259463,filled,randomized_matching_sim,276.259463,0.0,100.06977941037138
2026-02-17,ORD00000044,TLT,buy,88.633985,filled,randomized_matching_sim,88.633985,0.0,103.07273835907284
2026-02-17,ORD00000045,UUP,buy,73.463672,filled,randomized_matching_sim,73.463672,0.0,99.54294989648746
2026-02-18,ORD00000046,SPY,sell,325.616487,sent,,,,
2026-02-18,ORD00000047,TLT,sell,88.633984,sent,,,,
2026-02-18,ORD00000048,GLD,buy,48.443418,sent,,,,
2026-02-18,ORD00000049,UUP,buy,362.580224,rejected,insufficient_cash,,,
2026-02-18,ORD00000046,SPY,sell,325.616487,filled,randomized_matching_sim,325.616487,0.0,100.5324156430201
2026-02-18,ORD00000047,TLT,sell,88.633984,filled,randomized_matching_sim,88.633984,0.0,102.64098298265526
2026-02-18,ORD00000048,GLD,buy,48.443418,filled,randomized_matching_sim,48.443418,0.0,113.95641965290743
2026-02-19,ORD00000050,GLD,sell,29.60088,sent,,,,
2026-02-19,ORD00000051,UUP,sell,213.69366599999998,sent,,,,
2026-02-19,ORD00000052,TLT,buy,594.735224,rejected,insufficient_cash,,,
2026-02-19,ORD00000050,GLD,sell,29.60088,filled,randomized_matching_sim,29.60088,0.0,114.22856140465886
2026-02-19,ORD00000051,UUP,sell,213.69366599999998,filled,randomized_matching_sim,213.69366599999998,0.0,100.27755674540363
2026-02-20,ORD00000053,GLD,sell,26.656371,sent,,,,
2026-02-20,ORD00000054,UUP,sell,277.371632,sent,,,,
2026-02-20,ORD00000055,SPY,buy,240.206257,sent,,,,
2026-02-20,ORD00000056,TLT,buy,660.760818,rejected,insufficient_cash,,,
2026-02-20,ORD00000053,GLD,sell,26.656371,filled,randomized_matching_sim,26.656371,0.0,116.45861011619401
2026-02-20,ORD00000054,UUP,sell,277.371632,cancelled,randomized_matching_sim,0.0,0.0,100.16656515163794
