date,action,order_id,payload
2026-02-11,sent,ORD00000030,"{'symbol': 'XLE', 'side': 'buy', 'qty': 47.676426, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-11', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000030', 'remaining_qty': 47.676426, 'status': 'open'}"
2026-02-11,cancelled,ORD00000026,"{'order_id': 'ORD00000026', 'symbol': 'GLD', 'side': 'sell', 'status': 'cancelled', 'requested_qty': 60.594961, 'filled_qty': 0.0, 'remaining_qty': 0.0, 'fill_price': 116.43182946793078, 'event_date': '2026-02-11', 'reason': 'randomized_matching_sim'}"
2026-02-11,filled,ORD00000027,"{'order_id': 'ORD00000027', 'symbol': 'SPY', 'side': 'buy', 'status': 'filled', 'requested_qty': 96.30600899999999, 'filled_qty': 96.30600899999999, 'remaining_qty': 0.0, 'fill_price': 101.41740878276713, 'event_date': '2026-02-11', 'reason': 'randomized_matching_sim'}"
2026-02-11,filled,ORD00000028,"{'order_id': 'ORD00000028', 'symbol': 'TLT', 'side': 'buy', 'status': 'filled', 'requested_qty': 183.260943, 'filled_qty': 183.260943, 'remaining_qty': 0.0, 'fill_price': 101.00719589904075, 'event_date': '2026-02-11', 'reason': 'randomized_matching_sim'}"
2026-02-11,filled,ORD00000029,"{'order_id': 'ORD00000029', 'symbol': 'UUP', 'side': 'buy', 'status': 'filled', 'requested_qty': 456.705133, 'filled_qty': 456.705133, 'remaining_qty': 0.0, 'fill_price': 99.24758397148999, 'event_date': '2026-02-11', 'reason': 'randomized_matching_sim'}"
2026-02-11,filled,ORD00000030,"{'order_id': 'ORD00000030', 'symbol': 'XLE', 'side': 'buy', 'status': 'partial', 'requested_qty': 47.676426, 'filled_qty': 29.683734821116083, 'remaining_qty': 17.992691178883916, 'fill_price': 122.51404081726497, 'event_date': '2026-02-11', 'reason': 'randomized_matching_sim'}"
2026-02-11,cancelled,ORD00000030,{'reason': 'cancel_remainder_after_partial'}
2026-02-12,sent,ORD00000031,"{'symbol': 'SPY', 'side': 'sell', 'qty': 96.30600899999999, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-12', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000031', 'remaining_qty': 96.30600899999999, 'status': 'open'}"
2026-02-12,sent,ORD00000032,"{'symbol': 'TLT', 'side': 'sell', 'qty': 183.260943, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-12', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000032', 'remaining_qty': 183.260943, 'status': 'open'}"
2026-02-12,sent,ORD00000033,"{'symbol': 'XLE', 'side': 'sell', 'qty': 29.683733999999998, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-12', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000033', 'remaining_qty': 29.683733999999998, 'status': 'open'}"
2026-02-12,sent,ORD00000034,"{'symbol': 'GLD', 'side': 'buy', 'qty': 28.863607, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-12', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000034', 'remaining_qty': 28.863607, 'status': 'open'}"
2026-02-12,rejected,ORD00000035,"{'reason': 'insufficient_cash', 'symbol': 'UUP', 'side': 'buy', 'qty': 240.17298399999999, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-12', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000035', 'remaining_qty': 240.17298399999999, 'status': 'rejected'}"
2026-02-12,filled,ORD00000031,"{'order_id': 'ORD00000031', 'symbol': 'SPY', 'side': 'sell', 'status': 'partial', 'requested_qty': 96.30600899999999, 'filled_qty': 68.45549101184461, 'remaining_qty': 27.850517988155374, 'fill_price': 99.79846819544942, 'event_date': '2026-02-12', 'reason': 'randomized_matching_sim'}"
2026-02-12,cancelled,ORD00000031,{'reason': 'cancel_remainder_after_partial'}
2026-02-12,filled,ORD00000032,"{'order_id': 'ORD00000032', 'symbol': 'TLT', 'side': 'sell', 'status': 'filled', 'requested_qty': 183.260943, 'filled_qty': 183.260943, 'remaining_qty': 0.0, 'fill_price': 102.29946112359521, 'event_date': '2026-02-12', 'reason': 'randomized_matching_sim'}"
2026-02-12,cancelled,ORD00000033,"{'order_id': 'ORD00000033', 'symbol': 'XLE', 'side': 'sell', 'status': 'cancelled', 'requested_qty': 29.683733999999998, 'filled_qty': 0.0, 'remaining_qty': 0.0, 'fill_price': 120.2170920224608, 'event_date': '2026-02-12', 'reason': 'randomized_matching_sim'}"
2026-02-12,filled,ORD00000034,"{'order_id': 'ORD00000034', 'symbol': 'GLD', 'side': 'buy', 'status': 'filled', 'requested_qty': 28.863607, 'filled_qty': 28.863607, 'remaining_qty': 0.0, 'fill_price': 112.36140620925889, 'event_date': '2026-02-12', 'reason': 'randomized_matching_sim'}"
2026-02-13,sent,ORD00000036,"{'symbol': 'GLD', 'side': 'sell', 'qty': 77.45843599999999, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-13', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000036', 'remaining_qty': 77.45843599999999, 'status': 'open'}"
2026-02-13,sent,ORD00000037,"{'symbol': 'UUP', 'side': 'sell', 'qty': 251.834681, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-13', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000037', 'remaining_qty': 251.834681, 'status': 'open'}"
2026-02-13,sent,ORD00000038,"{'symbol': 'XLE', 'side': 'sell', 'qty': 29.683733999999998, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-13', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000038', 'remaining_qty': 29.683733999999998, 'status': 'open'}"
2026-02-13,sent,ORD00000039,"{'symbol': 'SPY', 'side': 'buy', 'qty': 92.66967, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-13', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000039', 'remaining_qty': 92.66967, 'status': 'open'}"
2026-02-13,rejected,ORD00000040,"{'reason': 'insufficient_cash', 'symbol': 'TLT', 'side': 'buy', 'qty': 444.20575399999996, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-13', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000040', 'remaining_qty': 444.20575399999996, 'status': 'rejected'}"
2026-02-13,filled,ORD00000036,"{'order_id': 'ORD00000036', 'symbol': 'GLD', 'side': 'sell', 'status': 'filled', 'requested_qty': 77.45843599999999, 'filled_qty': 77.45843599999999, 'remaining_qty': 0.0, 'fill_price': 115.07656114996836, 'event_date': '2026-02-13', 'reason': 'randomized_matching_sim'}"
2026-02-13,filled,ORD00000037,"{'order_id': 'ORD00000037', 'symbol': 'UUP', 'side': 'sell', 'status': 'partial', 'requested_qty': 251.834681, 'filled_qty': 159.4022433701942, 'remaining_qty': 92.43243762980578, 'fill_price': 99.17090950605379, 'event_date': '2026-02-13', 'reason': 'randomized_matching_sim'}"
2026-02-13,cancelled,ORD00000037,{'reason': 'cancel_remainder_after_partial'}
2026-02-13,filled,ORD00000038,"{'order_id': 'ORD00000038', 'symbol': 'XLE', 'side': 'sell', 'status': 'partial', 'requested_qty': 29.683733999999998, 'filled_qty': 17.93332405289176, 'remaining_qty': 11.750409947108238, 'fill_price': 121.03829129458157, 'event_date': '2026-02-13', 'reason': 'randomized_matching_sim'}"
2026-02-13,cancelled,ORD00000038,{'reason': 'cancel_remainder_after_partial'}
2026-02-13,filled,ORD00000039,"{'order_id': 'ORD00000039', 'symbol': 'SPY', 'side': 'buy', 'status': 'partial', 'requested_qty': 92.66967, 'filled_qty': 21.506505357926528, 'remaining_qty': 71.16316464207347, 'fill_price': 99.9087106526309, 'event_date': '2026-02-13', 'reason': 'randomized_matching_sim'}"
2026-02-13,cancelled,ORD00000039,{'reason': 'cancel_remainder_after_partial'}
2026-02-17,sent,ORD00000041,"{'symbol': 'GLD', 'side': 'sell', 'qty': 4.186299, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-17', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000041', 'remaining_qty': 4.186299, 'status': 'open'}"
2026-02-17,sent,ORD00000042,"{'symbol': 'XLE', 'side': 'sell', 'qty': 11.750409999999999, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-17', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000042', 'remaining_qty': 11.750409999999999, 'status': 'open'}"
2026-02-17,sent,ORD00000043,"{'symbol': 'SPY', 'side': 'buy', 'qty': 276.259463, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-17', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000043', 'remaining_qty': 276.259463, 'status': 'open'}"
2026-02-17,sent,ORD00000044,"{'symbol': 'TLT', 'side': 'buy', 'qty': 88.633985, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-17', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000044', 'remaining_qty': 88.633985, 'status': 'open'}"
2026-02-17,sent,ORD00000045,"{'symbol': 'UUP', 'side': 'buy', 'qty': 73.463672, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-17', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000045', 'remaining_qty': 73.463672, 'status': 'open'}"
2026-02-17,filled,ORD00000041,"{'order_id': 'ORD00000041', 'symbol': 'GLD', 'side': 'sell', 'status': 'filled', 'requested_qty': 4.186299, 'filled_qty': 4.186299, 'remaining_qty': 0.0, 'fill_price': 111.43250267332671, 'event_date': '2026-02-17', 'reason': 'randomized_matching_sim'}"
2026-02-17,filled,ORD00000042,"{'order_id': 'ORD00000042', 'symbol': 'XLE', 'side': 'sell', 'status': 'filled', 'requested_qty': 11.750409999999999, 'filled_qty': 11.750409999999999, 'remaining_qty': 0.0, 'fill_price': 119.69465615598519, 'event_date': '2026-02-17', 'reason': 'randomized_matching_sim'}"
2026-02-17,filled,ORD00000043,"{'order_id': 'ORD00000043', 'symbol': 'SPY', 'side': 'buy', 'status': 'filled', 'requested_qty': 276.259463, 'filled_qty': 276.259463, 'remaining_qty': 0.0, 'fill_price': 100.06977941037138, 'event_date': '2026-02-17', 'reason': 'randomized_matching_sim'}"
2026-02-17,filled,ORD00000044,"{'order_id': 'ORD00000044', 'symbol': 'TLT', 'side': 'buy', 'status': 'filled', 'requested_qty': 88.633985, 'filled_qty': 88.633985, 'remaining_qty': 0.0, 'fill_price': 103.07273835907284, 'event_date': '2026-02-17', 'reason': 'randomized_matching_sim'}"
2026-02-17,filled,ORD00000045,"{'order_id': 'ORD00000045', 'symbol': 'UUP', 'side': 'buy', 'status': 'filled', 'requested_qty': 73.463672, 'filled_qty': 73.463672, 'remaining_qty': 0.0, 'fill_price': 99.54294989648746, 'event_date': '2026-02-17', 'reason': 'randomized_matching_sim'}"
2026-02-18,sent,ORD00000046,"{'symbol': 'SPY', 'side': 'sell', 'qty': 325.616487, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-18', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000046', 'remaining_qty': 325.616487, 'status': 'open'}"
2026-02-18,sent,ORD00000047,"{'symbol': 'TLT', 'side': 'sell', 'qty': 88.633984, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-18', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000047', 'remaining_qty': 88.633984, 'status': 'open'}"
2026-02-18,sent,ORD00000048,"{'symbol': 'GLD', 'side': 'buy', 'qty': 48.443418, 'order_type': 'market', 'tif': 'day', 'limit_price': None, 'timestamp': '2026-02-18', 'client_tag': 'strategy_rebalance', 'order_id': 'ORD00000048', 'remaining_qty': 48.443418, 'status': 'open'}"
