Date,DTWEXBGS
2021-01-01,
2021-01-04,111.207500
2021-01-05,110.957400
2021-01-06,110.850200
2021-01-07,111.304200
2021-01-08,111.284700
2021-01-11,111.825700
2021-01-12,111.550100
2021-01-13,111.362200
2021-01-14,111.156700
2021-01-15,111.510600
2021-01-18,
2021-01-19,111.452700
2021-01-20,
2021-01-21,111.197300
2021-01-22,111.551600
2021-01-25,111.867600
2021-01-26,111.657200
2021-01-27,112.078200
2021-01-28,112.005900
2021-01-29,111.951100
2021-02-01,112.418900
2021-02-02,112.286200
2021-02-03,112.256700
2021-02-04,112.746900
2021-02-05,112.237900
2021-02-08,112.042800
2021-02-09,111.767500
2021-02-10,111.583400
2021-02-11,111.527200
2021-02-12,111.488900
2021-02-15,
2021-02-16,111.787900
2021-02-17,112.020400
2021-02-18,112.160300
2021-02-19,111.705800
2021-02-22,111.918000
2021-02-23,111.898100
2021-02-24,111.721200
2021-02-25,111.925300
2021-02-26,112.830600
2021-03-01,112.526300
2021-03-02,112.534200
2021-03-03,112.761700
2021-03-04,112.703700
2021-03-05,113.748700
2021-03-08,114.267800
2021-03-09,113.928000
2021-03-10,113.588100
2021-03-11,112.921400
2021-03-12,113.026900
2021-03-15,113.192800
2021-03-16,112.983900
2021-03-17,113.158900
2021-03-18,112.774400
2021-03-19,112.975600
2021-03-22,113.002300
2021-03-23,113.291600
2021-03-24,113.656500
2021-03-25,114.001600
2021-03-26,113.740600
2021-03-29,113.931400
2021-03-30,114.203000
2021-03-31,113.823400
2021-04-01,113.738900
2021-04-02,113.731500
2021-04-05,113.394000
2021-04-06,113.146400
2021-04-07,113.243600
2021-04-08,113.091700
2021-04-09,113.202800
2021-04-12,113.181500
2021-04-13,113.039100
2021-04-14,112.784900
2021-04-15,112.618100
2021-04-16,112.481400
2021-04-19,112.183500
2021-04-20,112.235400
2021-04-21,112.177100
2021-04-22,112.229700
2021-04-23,112.088900
2021-04-26,111.810900
2021-04-27,111.909700
2021-04-28,111.790900
2021-04-29,111.746400
2021-04-30,112.083900
2021-05-03,112.005000
2021-05-04,112.289600
2021-05-05,112.151400
2021-05-06,111.840100
2021-05-07,111.024900
2021-05-10,110.790500
2021-05-11,110.892100
2021-05-12,111.563600
2021-05-13,111.595500
2021-05-14,111.135300
2021-05-17,111.079000
2021-05-18,110.831700
2021-05-19,110.880700
2021-05-20,110.860500
2021-05-21,111.057600
2021-05-24,110.911800
2021-05-25,110.842000
2021-05-26,110.867700
2021-05-27,110.868800
2021-05-28,110.757600
2021-05-31,
2021-06-01,110.504600
2021-06-02,110.579900
2021-06-03,111.178200
2021-06-04,110.752100
2021-06-07,110.515500
2021-06-08,110.649000
2021-06-09,110.570700
2021-06-10,110.545600
2021-06-11,111.093300
2021-06-14,110.965900
2021-06-15,111.350700
2021-06-16,111.116500
2021-06-17,112.577200
2021-06-18,113.040800
2021-06-21,112.839100
2021-06-22,112.917400
2021-06-23,112.381900
2021-06-24,112.326000
2021-06-25,111.965500
2021-06-28,112.024800
2021-06-29,112.261300
2021-06-30,112.553300
2021-07-01,112.740000
2021-07-02,112.542500
2021-07-05,
2021-07-06,112.951600
2021-07-07,113.104800
2021-07-08,113.077600
2021-07-09,112.837500
2021-07-12,112.761100
2021-07-13,113.006300
2021-07-14,112.880100
2021-07-15,113.004100
2021-07-16,113.042800
2021-07-19,113.547200
2021-07-20,113.750200
2021-07-21,113.392600
2021-07-22,113.469500
2021-07-23,113.439800
2021-07-26,113.223800
2021-07-27,113.222700
2021-07-28,113.180700
2021-07-29,112.483400
2021-07-30,112.671400
2021-08-02,112.669100
2021-08-03,112.822800
2021-08-04,112.895300
2021-08-05,112.767400
2021-08-06,113.308800
2021-08-09,113.452100
2021-08-10,113.497300
2021-08-11,113.282000
2021-08-12,113.269100
2021-08-13,113.061500
2021-08-16,113.169800
2021-08-17,113.617400
2021-08-18,113.695900
2021-08-19,114.110600
2021-08-20,114.500900
2021-08-23,113.941800
2021-08-24,113.679500
2021-08-25,113.632200
2021-08-26,113.788300
2021-08-27,113.340400
2021-08-30,113.246000
2021-08-31,113.107600
2021-09-01,112.873200
2021-09-02,112.786300
2021-09-03,112.547600
2021-09-06,
2021-09-07,112.979500
2021-09-08,113.231900
2021-09-09,113.043000
2021-09-10,112.942500
2021-09-13,113.034100
2021-09-14,113.006100
2021-09-15,112.977300
2021-09-16,113.303600
2021-09-17,113.598900
2021-09-20,113.942200
2021-09-21,113.817900
2021-09-22,113.622300
2021-09-23,113.513000
2021-09-24,113.759700
2021-09-27,113.743200
2021-09-28,114.246900
2021-09-29,114.709200
2021-09-30,114.640300
2021-10-01,114.379800
2021-10-04,114.273900
2021-10-05,114.365400
2021-10-06,114.718500
2021-10-07,114.504400
2021-10-08,114.598600
2021-10-11,
2021-10-12,114.754200
2021-10-13,114.470500
2021-10-14,114.205300
2021-10-15,114.090500
2021-10-18,113.989900
2021-10-19,113.647000
2021-10-20,113.508300
2021-10-21,113.618800
2021-10-22,113.670000
2021-10-25,113.605000
2021-10-26,113.674000
2021-10-27,113.621800
2021-10-28,113.438900
2021-10-29,114.134900
2021-11-01,114.206700
2021-11-02,114.284700
2021-11-03,114.359300
2021-11-04,114.355800
2021-11-05,114.073200
2021-11-08,113.825600
2021-11-09,113.762000
2021-11-10,114.148400
2021-11-11,
2021-11-12,114.514400
2021-11-15,114.587600
2021-11-16,115.136000
2021-11-17,115.026300
2021-11-18,115.067800
2021-11-19,115.218700
2021-11-22,115.648100
2021-11-23,116.011800
2021-11-24,116.271100
2021-11-25,
2021-11-26,116.510300
2021-11-29,116.581000
2021-11-30,116.207100
2021-12-01,115.889000
2021-12-02,116.018000
2021-12-03,116.237700
2021-12-06,116.153800
2021-12-07,115.855500
2021-12-08,115.441800
2021-12-09,115.778400
2021-12-10,115.573200
2021-12-13,115.842000
2021-12-14,116.239700
2021-12-15,116.421900
2021-12-16,115.714600
2021-12-17,115.791000
2021-12-20,116.009200
2021-12-21,116.108900
2021-12-22,115.748500
2021-12-23,115.533700
2021-12-24,
2021-12-27,115.468400
2021-12-28,115.419200
2021-12-29,115.367800
2021-12-30,115.283000
2021-12-31,
