Date,BAMLH0A0HYM2
2021-01-01,
2021-01-04,3.930000
2021-01-05,3.920000
2021-01-06,3.800000
2021-01-07,3.780000
2021-01-08,3.760000
2021-01-11,3.820000
2021-01-12,3.850000
2021-01-13,3.820000
2021-01-14,3.730000
2021-01-15,3.740000
2021-01-18,3.730000
2021-01-19,3.710000
2021-01-20,3.670000
2021-01-21,3.650000
2021-01-22,3.750000
2021-01-25,3.750000
2021-01-26,3.740000
2021-01-27,3.850000
2021-01-28,3.760000
2021-01-29,3.790000
2021-01-31,3.840000
2021-02-01,3.830000
2021-02-02,3.750000
2021-02-03,3.680000
2021-02-04,3.640000
2021-02-05,3.580000
2021-02-08,3.540000
2021-02-09,3.510000
2021-02-10,3.510000
2021-02-11,3.500000
2021-02-12,3.480000
2021-02-15,3.470000
2021-02-16,3.410000
2021-02-17,3.440000
2021-02-18,3.460000
2021-02-19,3.410000
2021-02-22,3.440000
2021-02-23,3.470000
2021-02-24,3.420000
2021-02-25,3.420000
2021-02-26,3.520000
2021-02-28,3.570000
2021-03-01,3.540000
2021-03-02,3.530000
2021-03-03,3.510000
2021-03-04,3.540000
2021-03-05,3.600000
2021-03-08,3.570000
2021-03-09,3.620000
2021-03-10,3.630000
2021-03-11,3.520000
2021-03-12,3.550000
2021-03-15,3.550000
2021-03-16,3.550000
2021-03-17,3.650000
2021-03-18,3.660000
2021-03-19,3.670000
2021-03-22,3.580000
2021-03-23,3.570000
2021-03-24,3.510000
2021-03-25,3.530000
2021-03-26,3.480000
2021-03-29,3.430000
2021-03-30,3.440000
2021-03-31,3.360000
2021-04-01,3.330000
2021-04-02,
2021-04-05,3.250000
2021-04-06,3.250000
2021-04-07,3.220000
2021-04-08,3.210000
2021-04-09,3.240000
2021-04-12,3.240000
2021-04-13,3.320000
2021-04-14,3.250000
2021-04-15,3.250000
2021-04-16,3.220000
2021-04-19,3.250000
2021-04-20,3.350000
2021-04-21,3.340000
2021-04-22,3.340000
2021-04-23,3.290000
2021-04-26,3.260000
2021-04-27,3.240000
2021-04-28,3.260000
2021-04-29,3.240000
2021-04-30,3.280000
2021-05-03,3.270000
2021-05-04,3.320000
2021-05-05,3.290000
2021-05-06,3.300000
2021-05-07,3.270000
2021-05-10,3.260000
2021-05-11,3.360000
2021-05-12,3.340000
2021-05-13,3.370000
2021-05-14,3.350000
2021-05-17,3.350000
2021-05-18,3.350000
2021-05-19,3.400000
