Date,FEDFUNDS
2021-01-01,0.090000
2021-02-01,0.080000
2021-03-01,0.070000
2021-04-01,0.070000
2021-05-01,0.060000
2021-06-01,0.080000
2021-07-01,0.100000
2021-08-01,0.090000
2021-09-01,0.080000
2021-10-01,0.080000
2021-11-01,0.080000
2021-12-01,0.080000
