Date,CPIAUCSL
2025-01-01,318.961000
2025-02-01,319.679000
2025-03-01,319.785000
2025-04-01,320.302000
2025-05-01,320.620000
2025-06-01,321.435000
2025-07-01,322.169000
2025-08-01,323.291000
2025-09-01,324.245000
2025-10-01,325.063000
2025-11-01,325.063000
2025-12-01,326.031000
