symbol,bar_ts,open,high,low,close,volume
GLD,2026-03-09 08:00:00+00:00,469.7,469.88,469.7,469.88,1643.0
SPY,2026-03-09 08:00:00+00:00,662.47,665.28,662.45,662.83,135019.0
TLT,2026-03-09 08:00:00+00:00,88.1,88.1,87.94,88.0,11806.0
UUP,2026-03-09 08:00:00+00:00,27.86,27.86,27.58,27.58,1100.0
XLE,2026-03-09 08:00:00+00:00,57.86,57.86,57.72,57.72,2028.0
