symbol,bar_ts,open,high,low,close,volume
GLD,2026-03-11 08:00:00+00:00,477.76,477.76,477.37,477.37,2092.0
SPY,2026-03-11 08:00:00+00:00,677.8,678.16,677.8,677.96,2467.0
TLT,2026-03-11 08:00:00+00:00,88.34,88.34,88.1,88.15,14061.0
UUP,2026-03-11 10:53:00+00:00,27.48,27.48,27.48,27.48,500.0
XLE,2026-03-11 08:00:00+00:00,55.61,55.61,55.4,55.4,8161.0
