symbol,bar_ts,open,high,low,close,volume
GLD,2026-03-10 08:00:00+00:00,475.2,476.2,475.0,476.2,2741.0
SPY,2026-03-10 08:00:00+00:00,678.48,680.22,678.48,680.22,10117.0
TLT,2026-03-10 08:00:00+00:00,89.23,89.5,89.23,89.26,5656.0
UUP,2026-03-10 11:00:00+00:00,27.43,27.43,27.43,27.43,640.0
XLE,2026-03-10 08:00:00+00:00,55.8,56.02,55.68,55.94,7345.0
